,acc_g
133,0.00078950793
134,0.0006316475
135,0.000403278
136,0.00046789023
137,0.0007002061
138,0.000808382
139,0.0008521213
140,0.00088838435
141,0.00091784674
142,0.00091784674
143,0.00088838435
144,0.0008521213
145,0.000808382
146,0.0007002061
147,0.00046789023
148,0.00046789023
149,0.0007002061
150,0.000808382
151,0.0008521213
152,0.00088838435
153,0.00091784674
154,0.00091784674
155,0.00088838435
156,0.0008521213
157,0.000808382
158,0.0007002061
159,0.00046789023
160,0.000403278
161,0.0006316475
162,0.00078950793
163,0.0008405024
164,0.0008697977
165,0.00088838435
166,0.00088838435
167,0.0008697977
168,0.0008405024
169,0.00078950793
170,0.0006316475
171,0.000403278
172,0.0005225493
173,0.00073213043
174,0.0008149678
175,0.0008405024
176,0.00085212133
177,0.00085212133
178,0.0008405024
179,0.0008149678
180,0.00073213043
181,0.0005225493
182,0.00038767254
183,0.0005906722
184,0.00073213043
185,0.00078950793
186,0.000808382
187,0.000808382
188,0.00078950793
189,0.00073213043
190,0.0005906722
191,0.00038767254
192,0.00038767254
193,0.0005225493
194,0.0006316475
195,0.0007002061
196,0.0007002061
197,0.0006316475
198,0.0005225493
199,0.00038767254
200,0.000403278
201,0.00046789023
202,0.00046789023
203,0.000403278
204,0.00036344037
205,0.00036344037
206,0.00033740044
207,0.00043410642
208,0.00052296225
209,0.0005784537
210,0.0005784537
211,0.00052296225
212,0.00043410642
213,0.00033740044
214,0.0003816836
215,0.0005373172
216,0.00062516215
217,0.00066224
218,0.0006709109
219,0.0006709109
220,0.00066224
221,0.00062516215
222,0.0005373172
223,0.0003816836
224,0.00033740047
225,0.0005373172
226,0.0006461565
227,0.0006859403
228,0.0007165436
229,0.00073085923
230,0.00073085923
231,0.0007165436
232,0.0006859403
233,0.0006461565
234,0.0005373172
235,0.00033740047
236,0.00043410642
237,0.0006251622
238,0.0006859403
239,0.00072807784
240,0.000769227
241,0.00079281494
242,0.00079281494
243,0.000769227
244,0.00072807784
245,0.0006859403
246,0.0006251622
247,0.00043410642
248,0.00052296225
249,0.00066224
250,0.00071654364
251,0.000769227
252,0.0008190225
253,0.000849148
254,0.000849148
255,0.0008190225
256,0.000769227
257,0.00071654364
258,0.00066224
259,0.00052296225
260,0.00036344037
261,0.0005784537
262,0.0006709109
263,0.00073085923
264,0.00079281494
265,0.0008491481
266,0.0008866977
267,0.0008866977
268,0.0008491481
269,0.00079281494
270,0.00073085923
271,0.0006709109
272,0.0005784537
273,0.00036344037
274,0.00036344037
275,0.0005784537
276,0.0006709109
277,0.00073085923
278,0.00079281494
279,0.0008491481
280,0.0008866977
281,0.0008866977
282,0.0008491481
283,0.00079281494
284,0.00073085923
285,0.0006709109
286,0.0005784537
287,0.00036344037
288,0.00052296225
289,0.00066224
290,0.00071654364
291,0.000769227
292,0.0008190225
293,0.000849148
294,0.000849148
295,0.0008190225
296,0.000769227
297,0.00071654364
298,0.00066224
299,0.00052296225
300,0.00043410642
301,0.0006251622
302,0.0006859403
303,0.00072807784
304,0.000769227
305,0.00079281494
306,0.00079281494
307,0.000769227
308,0.00072807784
309,0.0006859403
310,0.0006251622
311,0.00043410642
312,0.00033740047
313,0.0005373172
314,0.0006461565
315,0.0006859403
316,0.0007165436
317,0.00073085923
318,0.00073085923
319,0.0007165436
320,0.0006859403
321,0.0006461565
322,0.0005373172
323,0.00033740047
324,0.0003816836
325,0.0005373172
326,0.00062516215
327,0.00066224
328,0.0006709109
329,0.0006709109
330,0.00066224
331,0.00062516215
332,0.0005373172
333,0.0003816836
334,0.00033740044
335,0.00043410642
336,0.00052296225
337,0.0005784537
338,0.0005784537
339,0.00052296225
340,0.00043410642
341,0.00033740044
342,0.00036344037
343,0.00036344037
344,0.00027486484
345,0.00033711156
346,0.00037521054
347,0.00037521054
348,0.00033711156
349,0.00027486484
350,0.00029315273
351,0.00038373168
352,0.000453806
353,0.0004942636
354,0.0005129413
355,0.0005129413
356,0.0004942636
357,0.000453806
358,0.00038373168
359,0.00029315273
360,0.00029315273
361,0.00042668704
362,0.0005067265
363,0.00053185725
364,0.0005535904
365,0.00056930445
366,0.00056930445
367,0.0005535904
368,0.00053185725
369,0.0005067265
370,0.00042668704
371,0.00029315273
372,0.00038373168
373,0.0005067265
374,0.0005396529
375,0.00057688396
376,0.00061412883
377,0.0006405836
378,0.0006405836
379,0.00061412883
380,0.00057688396
381,0.0005396529
382,0.0005067265
383,0.00038373168
384,0.00027486487
385,0.000453806
386,0.00053185725
387,0.00057688396
388,0.00064198906
389,0.00068604626
390,0.0007149892
391,0.0007149892
392,0.00068604626
393,0.00064198906
394,0.00057688396
395,0.00053185725
396,0.000453806
397,0.00027486487
398,0.00033711156
399,0.0004942636
400,0.0005535904
401,0.00061412883
402,0.0006860463
403,0.0007457546
404,0.00078613043
405,0.00078613043
